,Date,Open,High,Low,Close,Volume
5032,2018-01-02,170.16,172.3,169.26,172.26,25048048.0
5033,2018-01-03,172.53,174.55,171.96,172.23,28819653.0
5034,2018-01-04,172.54,173.47,172.08,173.03,22211345.0
5035,2018-01-05,173.44,175.37,173.05,175.0,23016177.0
5036,2018-01-08,174.35,175.61,173.93,174.35,20134092.0
5037,2018-01-09,174.55,175.06,173.41,174.33,21262614.0
5038,2018-01-10,173.16,174.3,173.0,174.29,23589129.0
5039,2018-01-11,174.59,175.4886,174.49,175.28,17523256.0
5040,2018-01-12,176.18,177.36,175.65,177.09,25039531.0
5041,2018-01-16,177.9,179.39,176.14,176.19,29159005.0
5042,2018-01-17,176.15,179.25,175.07,179.1,32752734.0
5043,2018-01-18,179.37,180.1,178.25,179.26,30234512.0
5044,2018-01-19,178.61,179.58,177.41,178.46,30827809.0
5045,2018-01-22,177.3,177.78,176.6016,177.0,26023683.0
5046,2018-01-23,177.3,179.44,176.82,177.04,31702531.0
5047,2018-01-24,177.25,177.3,173.2,174.22,50562257.0
5048,2018-01-25,174.505,174.95,170.53,171.11,39661804.0
5049,2018-01-26,172.0,172.0,170.06,171.51,37121805.0
5050,2018-01-29,170.16,170.16,167.07,167.96,48434424.0
5051,2018-01-30,165.525,167.37,164.7,166.97,45137026.0
5052,2018-01-31,166.87,168.4417,166.5,167.43,30984099.0
5053,2018-02-01,167.165,168.62,166.76,167.78,38099665.0
5054,2018-02-02,166.0,166.8,160.1,160.5,85436075.0
5055,2018-02-05,159.1,163.88,156.0,156.49,66090446.0
5056,2018-02-06,154.83,163.72,154.0,163.03,66625484.0
5057,2018-02-07,163.085,163.4,159.0685,159.54,50852130.0
5058,2018-02-08,160.29,161.0,155.03,155.15,49594129.0
5059,2018-02-09,157.07,157.89,150.24,156.41,66723743.0
5060,2018-02-12,158.5,163.89,157.51,162.71,60560145.0
5061,2018-02-13,161.95,164.75,161.65,164.34,32104756.0
5062,2018-02-14,163.045,167.54,162.88,167.37,39669178.0
5063,2018-02-15,169.79,173.09,169.0,172.99,50609595.0
5064,2018-02-16,172.36,174.82,171.77,172.43,39638793.0
5065,2018-02-20,172.05,174.26,171.42,171.85,33531012.0
5066,2018-02-21,172.83,174.12,171.01,171.07,35833514.0
5067,2018-02-22,171.8,173.95,171.71,172.5,30504116.0
5068,2018-02-23,173.67,175.65,173.54,175.5,33329232.0
5069,2018-02-26,176.35,179.39,176.21,178.97,36886432.0
5070,2018-02-27,179.1,180.48,178.16,178.39,38685165.0
5071,2018-02-28,179.26,180.615,178.05,178.12,33604574.0
5072,2018-03-01,178.54,179.775,172.66,175.0,48801970.0
5073,2018-03-02,172.8,176.3,172.45,176.21,38453950.0
5074,2018-03-05,175.21,177.74,174.52,176.82,28401366.0
5075,2018-03-06,177.91,178.25,176.13,176.67,23788506.0
