,Date,Open,High,Low,Close,Volume
0,2014-03-27,3.99,4.07,3.87,3.91,24532000
1,2014-03-28,3.93,3.97,3.87,3.88,13189200
2,2014-03-31,3.93,4.02,3.9,4.01,15386000
3,2014-04-01,4.04,4.1,4.02,4.07,18778800
4,2014-04-02,4.12,4.12,4.06,4.06,14839500
5,2014-04-03,4.07,4.1,3.97,4,16802300
6,2014-04-04,4.03,4.11,3.92,4.01,23427000
7,2014-04-07,3.98,3.99,3.83,3.88,24874600
8,2014-04-08,3.89,4,3.83,3.99,17339100
9,2014-04-09,4.01,4.02,3.95,3.98,11270300
10,2014-04-10,3.97,4.01,3.84,3.85,21364300
11,2014-04-11,3.82,3.85,3.65,3.65,34428800
12,2014-04-14,3.72,3.78,3.65,3.71,22735100
13,2014-04-15,3.74,3.82,3.72,3.79,21754300
14,2014-04-16,3.81,3.83,3.73,3.76,18173300
15,2014-04-17,3.78,3.8,3.69,3.69,32048100
16,2014-04-21,4.01,4.2,3.96,4.12,102651500
17,2014-04-22,4.13,4.31,4.11,4.3,52806800
18,2014-04-23,4.28,4.3,4.16,4.25,29136300
19,2014-04-24,4.27,4.35,4.2,4.28,27532800
20,2014-04-25,4.22,4.26,4.04,4.05,37810200
21,2014-04-28,4.09,4.12,3.87,3.96,31737100
22,2014-04-29,4.02,4.03,3.96,4.03,14582900
23,2014-04-30,4,4.1,3.99,4.09,18419200
24,2014-05-01,4.13,4.24,4.1,4.2,37807300
25,2014-05-02,4.17,4.2,4.1,4.12,14479700
26,2014-05-05,4.1,4.14,4.06,4.09,9015400
27,2014-05-06,4.06,4.13,3.98,4.01,17929300
28,2014-05-07,4.04,4.04,3.89,3.97,22374700
29,2014-05-08,3.95,4.03,3.91,3.93,14550200
30,2014-05-09,3.91,3.93,3.85,3.87,15982900
31,2014-05-12,3.87,4,3.86,3.97,14785500
32,2014-05-13,3.99,4.09,3.98,4.03,11224000
33,2014-05-14,4.03,4.06,3.98,3.98,10349600
34,2014-05-15,3.96,3.98,3.89,3.96,18000900
35,2014-05-16,3.95,4.05,3.91,4.02,17166600
36,2014-05-19,4,4.1,3.96,4.09,18171000
37,2014-05-20,4.09,4.11,4,4.05,15647500
38,2014-05-21,4.06,4.1,4.05,4.1,13369500
39,2014-05-22,4.09,4.09,4.01,4.01,11903100
40,2014-05-23,4.03,4.06,3.97,4.02,9831100
41,2014-05-27,4.05,4.06,4.03,4.04,6922800
42,2014-05-28,4.04,4.06,3.99,4,12293800
43,2014-05-29,4.02,4.06,4.01,4.03,8876700
44,2014-05-30,4.02,4.03,3.98,4,10030600
45,2014-06-02,4.03,4.03,3.94,3.97,10859500
46,2014-06-03,3.96,3.98,3.92,3.94,10858800
47,2014-06-04,3.93,4.05,3.93,4.04,13286000
48,2014-06-05,4.04,4.09,4.02,4.08,13723800
49,2014-06-06,4.09,4.11,4.06,4.06,8466000
50,2014-06-09,4.05,4.1,4.04,4.07,7597200
51,2014-06-10,4.1,4.23,4.1,4.2,28322100
52,2014-06-11,4.18,4.3,4.17,4.29,20596200
53,2014-06-12,4.33,4.44,4.28,4.29,26709500
54,2014-06-13,4.36,4.39,4.24,4.28,17734600
55,2014-06-16,4.26,4.44,4.26,4.44,26192800
56,2014-06-17,4.41,4.5,4.41,4.47,19445000
57,2014-06-18,4.5,4.5,4.35,4.4,14702400
58,2014-06-19,4.42,4.45,4.33,4.36,10880500
59,2014-06-20,4.34,4.37,4.07,4.1,54721600
60,2014-06-23,4.06,4.08,3.9,4.01,49634100
61,2014-06-24,4.01,4.07,3.93,3.94,20402400
62,2014-06-25,3.95,4,3.94,3.96,13844700
63,2014-06-26,3.95,4.09,3.94,4.03,21640500
64,2014-06-27,4.06,4.11,4.04,4.11,16034600
65,2014-06-30,4.12,4.25,4.08,4.19,25850200
66,2014-07-01,4.21,4.26,4.17,4.22,29412600
67,2014-07-02,4.23,4.35,4.22,4.34,20486500
68,2014-07-03,4.36,4.4,4.14,4.24,22521700
69,2014-07-07,4.23,4.31,4.21,4.26,21165500
70,2014-07-08,4.25,4.3,4.1,4.22,41685800
71,2014-07-09,4.21,4.29,4.2,4.23,18462200
72,2014-07-10,4.18,4.36,4.14,4.29,39245000
73,2014-07-11,4.3,4.4,4.29,4.37,22425600
74,2014-07-14,4.44,4.65,4.39,4.64,73046000
75,2014-07-15,4.63,4.8,4.41,4.53,156113700
76,2014-07-16,4.6,4.77,4.57,4.66,61848100
77,2014-07-17,4.66,4.68,4.5,4.57,51309800
78,2014-07-18,3.73,3.84,3.67,3.83,137577700
79,2014-07-21,3.86,3.87,3.75,3.78,34219100
80,2014-07-22,3.82,3.86,3.78,3.8,34004800
81,2014-07-23,3.82,3.83,3.75,3.76,31748200
82,2014-07-24,3.75,3.8,3.71,3.73,27967600
83,2014-07-25,3.73,3.79,3.69,3.76,31793700
84,2014-07-28,3.77,3.78,3.68,3.73,31443400
85,2014-07-29,3.74,3.84,3.73,3.79,36157400
86,2014-07-30,3.82,3.88,3.77,3.82,42981200
87,2014-07-31,3.8,3.99,3.78,3.91,112162900
88,2014-08-01,3.91,4.01,3.87,3.97,33710000
89,2014-08-04,3.97,4.02,3.93,4,21493200
90,2014-08-05,3.99,4.11,3.97,4.08,40330600
91,2014-08-06,4.06,4.14,4.03,4.12,16271200
92,2014-08-07,4.14,4.2,4.07,4.1,32712300
93,2014-08-08,4.1,4.15,4.05,4.12,27166900
94,2014-08-11,4.03,4.19,3.99,4.14,29560500
95,2014-08-12,4.12,4.14,4.08,4.08,27369900
96,2014-08-13,4.08,4.15,4.03,4.11,30396800
97,2014-08-14,4.1,4.17,4.08,4.08,26148100
98,2014-08-15,4.12,4.14,4.07,4.13,33349200
99,2014-08-18,4.14,4.22,4.14,4.21,45381300
100,2014-08-19,4.2,4.3,4.2,4.27,23222100
101,2014-08-20,4.25,4.32,4.22,4.28,11986600
102,2014-08-21,4.29,4.29,4.21,4.24,11939800
103,2014-08-22,4.22,4.28,4.21,4.25,8364700
104,2014-08-25,4.27,4.27,4.18,4.18,8998200
105,2014-08-26,4.17,4.22,4.13,4.19,9183900
106,2014-08-27,4.2,4.21,4.15,4.16,7304400
107,2014-08-28,4.14,4.19,4.07,4.14,10331400
108,2014-08-29,4.15,4.19,4.14,4.17,7347200
109,2014-09-02,4.16,4.25,4.15,4.16,12603300
110,2014-09-03,4.17,4.23,4.17,4.19,9600600
111,2014-09-04,4.18,4.25,4.15,4.15,12791400
112,2014-09-05,4.17,4.19,4.15,4.15,6630200
113,2014-09-08,4.13,4.18,4.1,4.13,8396200
114,2014-09-09,4.15,4.16,4.08,4.08,8964800
115,2014-09-10,4.08,4.11,4.01,4.08,13276800
116,2014-09-11,4.03,4.08,4.02,4.08,8086800
117,2014-09-12,4.06,4.11,3.96,3.96,14123900
118,2014-09-15,3.98,4.02,3.9,3.91,18257000
119,2014-09-16,3.89,3.9,3.8,3.81,40156400
120,2014-09-17,3.82,3.88,3.8,3.82,24894600
121,2014-09-18,3.88,3.94,3.7,3.88,16141400
122,2014-09-19,3.93,3.94,3.81,3.81,23030000
123,2014-09-22,3.81,3.83,3.75,3.76,14201400
124,2014-09-23,3.76,3.79,3.69,3.69,16282500
125,2014-09-24,3.71,3.75,3.69,3.7,11792600
126,2014-09-25,3.7,3.72,3.6,3.63,17556500
127,2014-09-26,3.63,3.67,3.6,3.6,12976300
128,2014-09-29,3.56,3.66,3.54,3.55,26857600
129,2014-09-30,3.56,3.58,3.4,3.41,55952200
130,2014-10-01,3.39,3.42,3.3,3.35,33645900
131,2014-10-02,3.37,3.44,3.28,3.39,27904500
132,2014-10-03,3.43,3.46,3.37,3.4,16797000
133,2014-10-06,3.42,3.44,3.3,3.36,17864800
134,2014-10-07,3.35,3.38,3.28,3.28,17720600
135,2014-10-08,3.3,3.31,3.18,3.28,28000000
136,2014-10-09,3.03,3.2,2.94,2.95,69528900
137,2014-10-10,2.95,2.95,2.71,2.72,41062500
138,2014-10-13,2.78,2.85,2.73,2.74,38269400
139,2014-10-14,2.61,2.75,2.6,2.62,39964200
140,2014-10-15,2.62,2.71,2.54,2.61,36924600
141,2014-10-16,2.56,2.72,2.54,2.64,38795400
142,2014-10-17,2.67,2.86,2.66,2.72,75956600
143,2014-10-20,2.79,2.8,2.6,2.67,28711000
144,2014-10-21,2.7,2.78,2.68,2.77,24033800
145,2014-10-22,2.79,2.8,2.64,2.64,23034800
146,2014-10-23,2.68,2.71,2.65,2.69,23731000
147,2014-10-24,2.69,2.73,2.67,2.68,11945800
148,2014-10-27,2.68,2.71,2.65,2.66,13307500
149,2014-10-28,2.69,2.77,2.67,2.72,22878300
150,2014-10-29,2.75,2.81,2.73,2.77,15600900
151,2014-10-30,2.79,2.79,2.7,2.75,13026100
152,2014-10-31,2.79,2.83,2.75,2.8,14704800
153,2014-11-03,2.81,2.9,2.81,2.87,11733600
154,2014-11-04,2.9,2.91,2.75,2.83,12524300
155,2014-11-05,2.85,2.87,2.77,2.8,9635100
156,2014-11-06,2.78,2.8,2.75,2.76,8932900
157,2014-11-07,2.77,2.8,2.76,2.78,7293800
158,2014-11-10,2.78,2.81,2.75,2.76,12593100
159,2014-11-11,2.78,2.79,2.72,2.73,8113500
160,2014-11-12,2.73,2.75,2.65,2.71,15875400
161,2014-11-13,2.71,2.74,2.65,2.66,10915400
162,2014-11-14,2.68,2.7,2.61,2.61,12373000
163,2014-11-17,2.62,2.69,2.61,2.67,12593800
164,2014-11-18,2.69,2.73,2.63,2.65,14967800
165,2014-11-19,2.68,2.68,2.61,2.63,10323300
166,2014-11-20,2.6,2.72,2.59,2.69,15043900
167,2014-11-21,2.72,2.77,2.71,2.77,11311600
168,2014-11-24,2.8,2.85,2.8,2.83,12293900
169,2014-11-25,2.84,2.86,2.76,2.83,11073600
170,2014-11-26,2.81,2.84,2.8,2.84,10553500
171,2014-11-28,2.85,2.85,2.77,2.79,5665000
172,2014-12-01,2.77,2.79,2.64,2.67,16025100
173,2014-12-02,2.69,2.71,2.61,2.68,12438800
174,2014-12-03,2.71,2.82,2.69,2.74,18256500
175,2014-12-04,2.75,2.75,2.66,2.69,14513400
176,2014-12-05,2.69,2.7,2.66,2.66,9479300
177,2014-12-08,2.65,2.68,2.52,2.58,25402100
178,2014-12-09,2.55,2.59,2.49,2.59,22914800
179,2014-12-10,2.58,2.58,2.46,2.48,17690100
180,2014-12-11,2.51,2.54,2.46,2.49,10151600
181,2014-12-12,2.46,2.55,2.35,2.52,21211600
182,2014-12-15,2.52,2.6,2.46,2.47,19636400
183,2014-12-16,2.44,2.53,2.42,2.5,17051600
184,2014-12-17,2.5,2.57,2.46,2.55,12521300
185,2014-12-18,2.58,2.59,2.54,2.55,12423900
186,2014-12-19,2.53,2.57,2.51,2.57,14701500
187,2014-12-22,2.55,2.68,2.52,2.66,15044900
188,2014-12-23,2.69,2.72,2.66,2.67,8274400
189,2014-12-24,2.63,2.7,2.63,2.65,4624000
190,2014-12-26,2.65,2.69,2.65,2.65,4029600
191,2014-12-29,2.64,2.66,2.63,2.66,8527000
192,2014-12-30,2.64,2.7,2.63,2.63,7783700
193,2014-12-31,2.64,2.7,2.64,2.67,11177900
194,2015-01-02,2.67,2.67,2.67,2.67,0
195,2015-01-05,2.67,2.7,2.64,2.66,8878200
196,2015-01-06,2.65,2.66,2.55,2.63,13912500
197,2015-01-07,2.63,2.65,2.54,2.58,12377600
198,2015-01-08,2.59,2.65,2.56,2.61,11136600
199,2015-01-09,2.63,2.64,2.58,2.63,8907600
200,2015-01-12,2.62,2.64,2.55,2.63,9979600
201,2015-01-13,2.64,2.68,2.6,2.66,17907400
202,2015-01-14,2.6,2.66,2.58,2.63,9989900
203,2015-01-15,2.62,2.65,2.49,2.52,17744000
204,2015-01-16,2.52,2.53,2.39,2.39,30192400
205,2015-01-20,2.39,2.43,2.19,2.24,56389300
206,2015-01-21,2.18,2.45,2.14,2.45,46530800
207,2015-01-22,2.42,2.5,2.37,2.47,36169600
208,2015-01-23,2.48,2.5,2.43,2.45,11100700
209,2015-01-26,2.44,2.64,2.44,2.61,36571300
210,2015-01-27,2.58,2.84,2.56,2.7,51805800
211,2015-01-28,2.71,2.75,2.6,2.63,24786200
212,2015-01-29,2.63,2.69,2.51,2.61,17789200
213,2015-01-30,2.56,2.6,2.51,2.57,12908200
214,2015-02-02,2.69,2.75,2.65,2.67,25688700
215,2015-02-03,2.7,2.8,2.68,2.76,22585300
216,2015-02-04,2.78,2.92,2.76,2.85,34829300
217,2015-02-05,2.88,3.37,2.87,3.31,73355600
218,2015-02-06,3.2,3.21,3,3.03,38110700
219,2015-02-09,3.03,3.07,2.93,3.04,24133800
220,2015-02-10,3.07,3.1,3.01,3.04,13995100
221,2015-02-11,3.03,3.1,3,3.07,11741100
222,2015-02-12,3.08,3.15,3.05,3.12,12975000
223,2015-02-13,3.13,3.18,3.11,3.15,9627600
224,2015-02-17,3.16,3.17,3.08,3.11,8678100
225,2015-02-18,3.11,3.14,3.06,3.08,7273900
226,2015-02-19,3.06,3.08,3.01,3.06,6573600
227,2015-02-20,3.03,3.13,3.02,3.06,10666700
228,2015-02-23,3.05,3.1,3.03,3.06,6323500
229,2015-02-24,3.06,3.12,3.02,3.11,10899400
230,2015-02-25,3.08,3.14,3.06,3.1,6151300
231,2015-02-26,3.1,3.13,3.06,3.08,8680900
232,2015-02-27,3.07,3.12,3.07,3.11,7150200
233,2015-03-02,3.13,3.23,3.11,3.21,15638100
234,2015-03-03,3.2,3.23,3.13,3.14,8644000
235,2015-03-04,3.14,3.14,3.01,3.05,12112800
236,2015-03-05,3.1,3.1,2.98,2.98,11472300
237,2015-03-06,2.96,2.99,2.83,2.92,16785200
